Date,MinTemp,MaxTemp,Sunshine,WindDir,Humidity,RainToday,RainTomorrow
9/27/2021,8,24.3,6.3,NW,68,No,Yes
9/28/2021,14,26.9,9.7,ENE,80,Yes,Yes
9/29/2021,13.7,23.4,3.3,NW,82,Yes,Yes
9/30/2021,13.3,15.5,9.1,NW,62,Yes,Yes
10/1/2021,7.6,16.1,10.6,SSE,68,Yes,No
10/2/2021,6.2,16.9,8.2,SE,70,No,No
10/3/2021,6.1,18.2,8.4,SE,63,No,No
10/4/2021,8.3,17,4.6,E,65,No,No
10/5/2021,8.8,19.5,4.1,S,70,No,Yes
10/6/2021,8.4,22.8,7.7,E,82,Yes,No
10/7/2021,9.1,25.2,11.9,N,74,No,No
10/8/2021,8.5,27.3,12.5,E,54,No,No
10/9/2021,10.1,27.9,13,WNW,62,No,No
10/10/2021,12.1,30.9,12.4,NW,67,No,No
10/11/2021,10.1,31.2,13.1,NW,45,No,No
10/12/2021,12.4,32.1,11.1,E,70,No,No
10/13/2021,13.8,31.2,8.4,ESE,72,No,Yes
10/14/2021,11.7,30,10.1,S,59,Yes,No
10/15/2021,12.4,32.3,13,E,60,No,No
10/16/2021,15.6,33.4,10.4,NE,61,No,No
10/17/2021,15.3,33.4,9.5,WNW,60,No,No
10/18/2021,16.4,19.4,0,E,88,No,Yes
10/19/2021,12.8,18.5,0.6,ESE,91,Yes,No
10/20/2021,12,24.3,7.5,NNE,74,No,No
10/21/2021,15.4,28.4,8.1,ENE,85,No,No
10/22/2021,15.6,26.9,8.9,E,65,No,No
10/23/2021,13.3,22.2,2.3,ENE,70,No,No
10/24/2021,12.9,28,10.7,S,61,No,No
10/25/2021,15.1,24.3,0.4,SE,69,No,No
10/26/2021,13.6,24.1,0.5,NNW,83,No,Yes
10/27/2021,15.1,20.4,0.2,SSE,82,Yes,Yes
10/28/2021,11.6,26.3,12,NNE,66,Yes,No
10/29/2021,16.6,24.2,4.7,NW,72,No,Yes
10/30/2021,13.3,26.5,11.8,NW,74,Yes,No
10/31/2021,14.5,21.8,9.8,ENE,69,No,No
11/1/2021,16.3,26.8,6.3,ENE,78,No,No
11/2/2021,17.2,25.8,8.8,SW,70,No,Yes
11/3/2021,16.5,28.2,8.8,NE,76,Yes,No
11/4/2021,15,29.4,11.1,NW,78,No,No
11/5/2021,14.9,24.8,10,NNW,58,No,No
11/6/2021,11.8,18.5,2.3,ENE,60,No,No
11/7/2021,11.7,21.5,7.3,ENE,66,No,No
11/8/2021,9.6,20.3,3.6,SE,70,No,No
11/9/2021,8.9,27.1,12.7,E,63,No,No
11/10/2021,10.1,29.9,8.8,E,63,No,Yes
11/11/2021,15.5,21.1,0.9,S,93,Yes,Yes
11/12/2021,10.8,21.7,10.6,ESE,59,Yes,No
11/13/2021,7.5,20.9,8.7,ENE,61,No,No
11/14/2021,12.8,21,0.8,NE,72,No,Yes
11/15/2021,12.6,23.1,2.3,NNW,97,Yes,Yes
11/16/2021,14.8,29.5,8.1,N,81,Yes,Yes
11/17/2021,19.9,22,5.9,NNW,92,Yes,Yes
11/18/2021,9.2,20.4,10.2,ENE,59,Yes,No
11/19/2021,12.4,24.4,12.1,NW,69,No,Yes
11/20/2021,11.3,21.7,5.6,E,67,Yes,No
11/21/2021,9.8,26.3,13,NNW,63,No,No
11/22/2021,14.3,26.7,7.1,NNW,68,No,Yes
11/23/2021,15.1,28.3,13.2,NNW,73,Yes,No
11/24/2021,14.4,31.6,13.6,NNW,65,No,No
11/25/2021,15.4,35,13,E,55,No,No
11/26/2021,13.8,33.5,13.6,NE,44,No,No
11/27/2021,13.6,34.2,12.8,NNE,50,No,No
11/28/2021,14.3,35,10.5,ESE,43,No,No
11/29/2021,15.9,23.4,2.2,ESE,69,No,No
11/30/2021,16.7,25.3,12.5,ESE,56,No,No
12/1/2021,12.1,27.5,11.7,NE,69,No,No
12/2/2021,14.3,34.1,10.5,ENE,77,No,No
12/3/2021,16.5,33.9,12.6,ENE,60,No,No
12/4/2021,16.5,30.3,8.1,E,77,No,No
12/5/2021,17.5,29.9,8.8,E,74,No,No
12/6/2021,14.7,34.2,12.8,NE,64,No,No
12/7/2021,17.5,35.8,13.3,SSE,56,No,No
12/8/2021,20.9,35.7,6.9,SW,61,No,Yes
12/9/2021,17,33.8,13.5,WNW,65,Yes,No
12/10/2021,16,22.8,6,E,70,No,No
12/11/2021,15.4,33.8,11.1,W,70,No,No
12/12/2021,17.9,33.2,8.4,N,58,No,Yes
12/13/2021,15.2,25.1,11.6,E,62,Yes,No
12/14/2021,15.1,20.4,0.1,ESE,63,No,Yes
12/15/2021,15.3,19.6,0,NE,92,Yes,Yes
12/16/2021,17.2,24.7,8.1,NW,80,Yes,No
12/17/2021,15.9,19.9,1.6,E,73,No,No
12/18/2021,10,22.5,11.6,E,55,No,No
12/19/2021,9.9,24.4,10.8,NE,60,No,No
12/20/2021,10.3,27.8,9.9,ENE,64,No,No
12/21/2021,15.4,25.7,8.2,E,67,No,No
12/22/2021,12.7,28.8,9,NNE,70,No,No
12/23/2021,13.2,31.3,11.6,WSW,71,No,No
12/24/2021,15.3,33.2,13.2,NNW,60,No,No
12/25/2021,17.9,33.9,11.8,ENE,72,No,No
12/26/2021,18,34.9,9.9,NW,68,No,Yes
12/27/2021,17.6,27.8,3.6,ESE,66,Yes,Yes
12/28/2021,16,23.8,6.2,SSE,73,Yes,No
12/29/2021,14.9,28.8,8.1,NNE,71,No,No
12/30/2021,17.1,29.6,9.2,E,67,No,Yes
12/31/2021,18.2,22.6,0,ENE,92,Yes,Yes
1/1/2022,16.8,22.8,0.3,ESE,88,Yes,No
1/2/2022,13.6,27.4,8,W,77,No,No
1/3/2022,14.5,24.2,5.9,SSW,76,No,Yes
1/4/2022,12.4,19.9,5.6,ENE,75,Yes,No
1/5/2022,10.4,20.9,8.9,SSE,65,No,No
1/6/2022,9.1,23.1,9.6,ENE,66,No,No
1/7/2022,8.9,26,10.7,NE,74,No,Yes
1/8/2022,14.5,24.2,5.9,W,95,Yes,Yes
1/9/2022,12.6,18.2,0.4,ENE,81,Yes,No
1/10/2022,8.6,24.2,12.7,E,63,No,No
1/11/2022,10.8,25.2,12.6,ENE,69,No,No
